code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
35238;RENNES;35200;;RENNES;48.111680407,-1.681868718
35242;RIMOU;35560;;RIMOU;48.387738972,-1.528373966
35244;ROMAZY;35490;;ROMAZY;48.380548984,-1.493199309
35246;ROZ LANDRIEUX;35120;;ROZ LANDRIEUX;48.54581768,-1.817518809
35248;SAINS;35610;;SAINS;48.555987628,-1.603981171
35259;ST BROLADRE;35120;;ST BROLADRE;48.580120857,-1.661164406
35261;ST CHRISTOPHE DE VALAINS;35140;;ST CHRISTOPHE DE VALAINS;48.341370822,-1.45143647
35266;ST ERBLON;35230;;ST ERBLON;48.018912087,-1.64259933
35271;ST GEORGES DE REINTEMBAULT;35420;;ST GEORGES DE REINTEMBAULT;48.512984563,-1.235179946
35284;ST JOUAN DES GUERETS;35430;;ST JOUAN DES GUERETS;48.603981667,-1.965289672
35288;ST MALO;35400;CHATEAU MALO;ST MALO;48.640048719,-1.980865007
35292;ST MARC LE BLANC;35460;;ST MARC LE BLANC;48.373397199,-1.397723784
35295;ST MAUGAN;35750;;ST MAUGAN;48.136724076,-2.102191241
35299;ST MELOIR DES ONDES;35350;;ST MELOIR DES ONDES;48.638657152,-1.905853545
35302;ST ONEN LA CHAPELLE;35290;;ST ONEN LA CHAPELLE;48.169476446,-2.15567786
35311;ST SEGLIN;35330;;ST SEGLIN;47.851770916,-2.026009171
35314;ST SULIAC;35430;;ST SULIAC;48.570531765,-1.967277437
35319;ST THURIAL;35310;;ST THURIAL;48.033491506,-1.940538722
35329;SOUGEAL;35610;;SOUGEAL;48.502288489,-1.515062705
35331;TALENSAC;35160;;TALENSAC;48.091170747,-1.926136806
35333;LE THEIL DE BRETAGNE;35240;;LE THEIL DE BRETAGNE;47.917872147,-1.421841216
35337;TINTENIAC;35190;;TINTENIAC;48.323509405,-1.829943528
35343;TRESBOEUF;35320;;TRESBOEUF;47.88050423,-1.553518646
35358;LA VILLE ES NONAIS;35430;;LA VILLE ES NONAIS;48.549161799,-1.952303676
35360;VITRE;35500;;VITRE;48.114112003,-1.193482325
35002;AMANLIS;35150;;AMANLIS;47.999806826,-1.496122011
35004;VAL COUESNON;35560;LA FONTENELLE;VAL COUESNON;48.440079368,-1.46268206
35013;BAINS SUR OUST;35600;;BAINS SUR OUST;47.712200336,-2.075624016
35014;BAIS;35680;;BAIS;48.011079769,-1.305387481
35015;BALAZE;35500;;BALAZE;48.177906445,-1.183241566
35018;LA BAZOUGE DU DESERT;35420;;LA BAZOUGE DU DESERT;48.44396455,-1.109672763
35024;BETTON;35830;;BETTON;48.181255767,-1.646455875
35027;BOISGERVILLY;35360;;BOISGERVILLY;48.166812207,-2.083578171
35029;BONNEMAIN;35270;;BONNEMAIN;48.471175498,-1.761334343
35030;LA BOSSE DE BRETAGNE;35320;;LA BOSSE DE BRETAGNE;47.868166289,-1.588805281
35032;BOURGBARRE;35230;;BOURGBARRE;47.988624621,-1.622400821
35038;BREAL SOUS VITRE;35370;;BREAL SOUS VITRE;48.092529231,-1.060770881
35039;BRECE;35530;;BRECE;48.110479219,-1.489810166
35046;LES BRULAIS;35330;;LES BRULAIS;47.890718924,-2.056038453
35052;CHAMPEAUX;35500;;CHAMPEAUX;48.13885915,-1.300822699
35057;LA CHAPELLE BOUEXIC;35330;;LA CHAPELLE BOUEXIC;47.937092981,-1.923024639
35060;LA CHAPELLE DU LOU DU LAC;35360;LA CHAPELLE DU LOU;LA CHAPELLE DU LOU DU LAC;48.21578004,-1.993519164
35064;LA CHAPELLE DE BRAIN;35660;;LA CHAPELLE DE BRAIN;47.697573578,-1.93488095
35065;LA CHAPELLE THOUARAULT;35590;;LA CHAPELLE THOUARAULT;48.125188415,-1.858215357
35067;CHASNE SUR ILLET;35250;;CHASNE SUR ILLET;48.23539,-1.571415519
35068;CHATEAUBOURG;35220;BROONS SUR VILAINE;CHATEAUBOURG;48.119808108,-1.40403902
35068;CHATEAUBOURG;35220;ST MELAINE;CHATEAUBOURG;48.119808108,-1.40403902
35071;LE CHATELLIER;35133;;LE CHATELLIER;48.425897,-1.245714576
35080;CINTRE;35310;;CINTRE;48.10859218,-1.885947268
35082;COESMES;35134;;COESMES;47.872210783,-1.416270817
35085;COMBOURG;35270;;COMBOURG;48.408754722,-1.745342966
35087;CORNILLE;35500;;CORNILLE;48.082325504,-1.31384462
35089;LA COUYERE;35320;;LA COUYERE;47.894155579,-1.501743431
35103;EANCE;35640;;EANCE;47.82372125,-1.251937613
35109;ETRELLES;35370;;ETRELLES;48.069743539,-1.215970424
35110;FEINS;35440;;FEINS;48.328169248,-1.625908541
35120;GEVEZE;35850;;GEVEZE;48.213318833,-1.799006208
35121;GOSNE;35140;;GOSNE;48.250380555,-1.458664152
35122;LA GOUESNIERE;35350;;LA GOUESNIERE;48.603006761,-1.887280109
35128;GUIPEL;35440;;GUIPEL;48.292447195,-1.723623456
35130;HEDE BAZOUGES;35630;;HEDE BAZOUGES;48.302176978,-1.777738898
35130;HEDE BAZOUGES;35630;BAZOUGES SOUS HEDE;HEDE BAZOUGES;48.302176978,-1.777738898
35133;IFFENDIC;35750;;IFFENDIC;48.113977658,-2.024155892
35154;LIVRE SUR CHANGEON;35450;;LIVRE SUR CHANGEON;48.227214855,-1.34848339
35164;MARCILLE RAOUL;35560;;MARCILLE RAOUL;48.374837067,-1.61377678
35168;VAL D ANAST;35330;CAMPEL;VAL D ANAST;47.900118581,-2.0223224
35170;MECE;35450;;MECE;48.241175109,-1.286500505
35174;MELLE;35420;;MELLE;48.484389875,-1.191082025
35176;GUIPRY MESSAC;35480;GUIPRY;GUIPRY MESSAC;47.821564405,-1.830472392
35176;GUIPRY MESSAC;35480;MESSAC;GUIPRY MESSAC;47.821564405,-1.830472392
35177;LA MEZIERE;35520;;LA MEZIERE;48.212650776,-1.750678342
35184;MONTAUBAN DE BRETAGNE;35360;ST M HERVON;MONTAUBAN DE BRETAGNE;48.204274062,-2.065450873
35186;MONT DOL;35120;;MONT DOL;48.57083808,-1.758182893
35187;MONTERFIL;35160;;MONTERFIL;48.060057611,-1.990377151
35189;MONTGERMONT;35760;;MONTGERMONT;48.154003362,-1.717025903
35192;MONTREUIL DES LANDES;35210;;MONTREUIL DES LANDES;48.250872523,-1.227911983
35193;MONTREUIL LE GAST;35520;;MONTREUIL LE GAST;48.243954182,-1.720396071
35196;MORDELLES;35310;;MORDELLES;48.085914654,-1.842661283
35198;MOULINS;35680;;MOULINS;48.008781973,-1.362902107
35204;NOUVOITOU;35410;;NOUVOITOU;48.030580726,-1.552345417
35210;PACE;35740;;PACE;48.152674506,-1.777329248
35214;PARCE;35210;;PARCE;48.271005707,-1.19468484
35221;PLECHATEL;35470;;PLECHATEL;47.875174658,-1.734109442
35221;PLECHATEL;35470;LE CHATELLIER;PLECHATEL;47.875174658,-1.734109442
35227;PLEUMELEUC;35137;;PLEUMELEUC;48.183417782,-1.893568876
35234;QUEDILLAC;35290;;QUEDILLAC;48.237792708,-2.143733987
35241;LA RICHARDAIS;35780;;LA RICHARDAIS;48.609177009,-2.043645276
35245;ROMILLE;35850;;ROMILLE;48.222420169,-1.878721428
35247;ROZ SUR COUESNON;35610;;ROZ SUR COUESNON;48.596239636,-1.593200502
35249;STE ANNE SUR VILAINE;35390;;STE ANNE SUR VILAINE;47.734161793,-1.805152664
35256;ST BRIAC SUR MER;35800;;ST BRIAC SUR MER;48.615694771,-2.123852974
35257;MAEN ROCH;35460;ST BRICE EN COGLES;MAEN ROCH;48.400636918,-1.345728525
35260;ST CHRISTOPHE DES BOIS;35210;;ST CHRISTOPHE DES BOIS;48.226697084,-1.236374731
35263;ST COULOMB;35350;;ST COULOMB;48.677237284,-1.921140398
35276;ST GONDRAN;35630;;ST GONDRAN;48.268128154,-1.82537019
35277;ST GONLAY;35750;;ST GONLAY;48.113097851,-2.076230518
35279;ST GUINOUX;35430;;ST GUINOUX;48.580012533,-1.888639378
35282;RIVES DU COUESNON;35140;ST GEORGES DE CHESNE;RIVES DU COUESNON;48.284927722,-1.345743452
35289;ST MALO DE PHILY;35480;;ST MALO DE PHILY;47.867841549,-1.805403488
35310;ST SAUVEUR DES LANDES;35133;;ST SAUVEUR DES LANDES;48.346890049,-1.314272217
35312;ST SENOUX;35580;;ST SENOUX;47.910002646,-1.790014588
35318;ST THUAL;35190;;ST THUAL;48.335636892,-1.931787345
35321;SAULNIERES;35320;;SAULNIERES;47.919206014,-1.57784156
35325;LA SELLE GUERCHAISE;35130;;LA SELLE GUERCHAISE;47.942824585,-1.170410634
35332;TEILLAY;35620;;TEILLAY;47.807499789,-1.522451581
35350;VERGEAL;35680;;VERGEAL;48.035926798,-1.255657068
35354;VIEUX VIEL;35610;;VIEUX VIEL;48.501362594,-1.55338729
35357;VILLAMEE;35420;;VILLAMEE;48.455676105,-1.219277675
35361;LE VIVIER SUR MER;35960;;LE VIVIER SUR MER;48.59749784,-1.780929064
35001;ACIGNE;35690;;ACIGNE;48.146472503,-1.519156922
35004;VAL COUESNON;35560;ANTRAIN;VAL COUESNON;48.440079368,-1.46268206
35010;BAGUER PICAN;35120;;BAGUER PICAN;48.549892404,-1.691120364
35016;BAULON;35580;;BAULON;47.994959683,-1.929406329
35017;LA BAUSSAINE;35190;;LA BAUSSAINE;48.31294707,-1.896616166
35021;BEAUCE;35133;;BEAUCE;48.346757826,-1.155558635
35025;BILLE;35133;;BILLE;48.293858764,-1.251123427
35044;BROUALAN;35120;;BROUALAN;48.47528511,-1.66115802
35045;BRUC SUR AFF;35550;;BRUC SUR AFF;47.814274771,-2.00617628
35047;BRUZ;35170;PONT REAN;BRUZ;48.025911899,-1.748505182
35051;CESSON SEVIGNE;35510;;CESSON SEVIGNE;48.120400207,-1.59724509
35056;LA CHAPELLE AUX FILTZMEENS;35190;;LA CHAPELLE AUX FILTZMEENS;48.381674453,-1.818063363
35058;LA CHAPELLE CHAUSSEE;35630;;LA CHAPELLE CHAUSSEE;48.266710925,-1.863964399
35060;LA CHAPELLE DU LOU DU LAC;35360;LE LOU DU LAC;LA CHAPELLE DU LOU DU LAC;48.21578004,-1.993519164
35063;LA CHAPELLE ST AUBERT;35140;;LA CHAPELLE ST AUBERT;48.309918506,-1.314676226
35066;CHARTRES DE BRETAGNE;35131;;CHARTRES DE BRETAGNE;48.044923778,-1.706450506
35068;CHATEAUBOURG;35220;;CHATEAUBOURG;48.119808108,-1.40403902
35072;CHATILLON EN VENDELAIS;35210;;CHATILLON EN VENDELAIS;48.22885041,-1.164752374
35076;CHAVAGNE;35310;;CHAVAGNE;48.056320452,-1.786547463
35091;LE CROUAIS;35290;;LE CROUAIS;48.209371712,-2.150995832
35093;DINARD;35800;;DINARD;48.624750513,-2.062084653
35097;DOMALAIN;35680;;DOMALAIN;47.99921643,-1.239370169
35099;DOMLOUP;35410;;DOMLOUP;48.0684684,-1.54295343
35107;ERCE PRES LIFFRE;35340;;ERCE PRES LIFFRE;48.254539781,-1.517032057
35114;FORGES LA FORET;35640;;FORGES LA FORET;47.8615571,-1.292912476
35117;GAEL;35290;;GAEL;48.118492569,-2.228619025
35119;GENNES SUR SEICHE;35370;;GENNES SUR SEICHE;47.997956603,-1.13291119
35132;HIREL;35120;;HIREL;48.593618909,-1.809188885
35132;HIREL;35120;VILDE LA MARINE;HIREL;48.593618909,-1.809188885
35138;LAIGNELET;35133;;LAIGNELET;48.379693794,-1.152890021
35140;LALLEU;35320;;LALLEU;47.855952859,-1.522336952
35148;LANRIGAN;35270;;LANRIGAN;48.391463328,-1.691952055
35155;LOHEAC;35550;;LOHEAC;47.872591253,-1.888757472
35157;LE LOROUX;35133;;LE LOROUX;48.394838477,-1.082981245
35160;LOUTEHEL;35330;;LOUTEHEL;47.937013529,-2.079637954
35169;MAXENT;35380;;MAXENT;47.978321076,-2.016153538
35185;MONTAUTOUR;35210;;MONTAUTOUR;48.204672623,-1.120830478
35188;MONTFORT SUR MEU;35160;;MONTFORT SUR MEU;48.126116266,-1.963933977
35190;MONTHAULT;35420;;MONTHAULT;48.512339092,-1.175884682
35200;MOUTIERS;35130;;MOUTIERS;47.976013039,-1.205282543
35202;LA NOE BLANCHE;35470;;LA NOE BLANCHE;47.795075182,-1.745846811
35203;LA NOUAYE;35137;;LA NOUAYE;48.166354045,-1.974724928
35216;PARTHENAY DE BRETAGNE;35850;;PARTHENAY DE BRETAGNE;48.188070994,-1.829118412
35225;PLESDER;35720;;PLESDER;48.417908084,-1.929973377
35226;PLEUGUENEUC;35720;;PLEUGUENEUC;48.404539119,-1.885753254
35230;POILLEY;35420;;POILLEY;48.465975825,-1.256588671
35232;PRINCE;35210;;PRINCE;48.237551571,-1.105855416
35235;RANNEE;35130;;RANNEE;47.901406469,-1.200196605
35236;REDON;35600;;REDON;47.661216252,-2.08016417
35237;RENAC;35660;;RENAC;47.72782278,-1.966755244
35243;ROMAGNE;35133;;ROMAGNE;48.344541228,-1.262508701
35255;ST BENOIT DES ONDES;35114;;ST BENOIT DES ONDES;48.613513629,-1.861052615
35257;MAEN ROCH;35460;ST ETIENNE EN COGLES;MAEN ROCH;48.400636918,-1.345728525
35264;ST DIDIER;35220;;ST DIDIER;48.093265123,-1.357952517
35268;ST GANTON;35550;;ST GANTON;47.769824505,-1.891042743
35274;ST GERMAIN SUR ILLE;35250;;ST GERMAIN SUR ILLE;48.250459681,-1.652029662
35278;ST GREGOIRE;35760;;ST GREGOIRE;48.158493729,-1.685337689
35280;ST HILAIRE DES LANDES;35140;;ST HILAIRE DES LANDES;48.338312694,-1.366574834
35281;ST JACQUES DE LA LANDE;35136;;ST JACQUES DE LA LANDE;48.076118615,-1.722558013
35282;RIVES DU COUESNON;35140;ST JEAN SUR COUESNON;RIVES DU COUESNON;48.284927722,-1.345743452
35285;ST JUST;35550;;ST JUST;47.764436292,-1.969131549
35288;ST MALO;35400;PARAME;ST MALO;48.640048719,-1.980865007
35288;ST MALO;35400;ROTHENEUF;ST MALO;48.640048719,-1.980865007
35288;ST MALO;35400;ST SERVAN SUR MER;ST MALO;48.640048719,-1.980865007
35291;ST MARCAN;35120;;ST MARCAN;48.585259427,-1.628052573
35294;STE MARIE;35600;;STE MARIE;47.693519577,-2.013587106
35296;ST MEDARD SUR ILLE;35250;;ST MEDARD SUR ILLE;48.272995224,-1.670924977
35297;ST MEEN LE GRAND;35290;;ST MEEN LE GRAND;48.192349808,-2.194995104
35305;ST PERAN;35380;;ST PERAN;48.056820978,-2.06452705
35306;ST PERE MARC EN POULET;35430;;ST PERE MARC EN POULET;48.584126939,-1.929247306
35308;MESNIL ROC H;35720;ST PIERRE DE PLESGUEN;MESNIL ROC H;48.45801406,-1.8778414
35308;MESNIL ROC H;35720;TRESSE;MESNIL ROC H;48.45801406,-1.8778414
35315;ST SULPICE LA FORET;35250;;ST SULPICE LA FORET;48.212407534,-1.575873462
35316;ST SULPICE DES LANDES;35390;;ST SULPICE DES LANDES;47.776961884,-1.625721618
35320;ST UNIAC;35360;;ST UNIAC;48.166999305,-2.032799831
35326;SENS DE BRETAGNE;35490;;SENS DE BRETAGNE;48.336389627,-1.554034633
35335;THOURIE;35134;;THOURIE;47.848548707,-1.458039729
35346;TRIMER;35190;;TRIMER;48.344757088,-1.897228289
